"Match","Position","Points"
"1","1","3"
"2","5","4"
"3","3","7"
"4","1","10"
"5","3","13"
"6","4","13"
"7","3","14"
"8","5","14"
"9","7","14"
"10","5","17"
"11","5","17"
"12","7","17"
"13","8","18"
"14","7","21"
"15","6","24"
"16","5","27"
"17","7","28"
"18","6","31"
"19","7","31"
"20","7","32"
"21","7","35"
"22","4","38"
"23","5","39"
"24","5","40"
"25","4","43"
"26","4","46"
"27","4","47"
"28","5","47"
"29","4","50"
"30","6","51"
"31","7","51"
"32","5","54"
"33","6","54"
"34","6","54"
"35","6","55"
"36","6","58"
"37","6","58"
"38","6","58"
