"Match","Position","Points"
"1","16","0"
"2","13","3"
"3","16","3"
"4","14","6"
"5","15","7"
"6","15","7"
"7","14","10"
"8","9","13"
"9","8","16"
"10","4","19"
"11","8","20"
"12","6","23"
"13","3","26"
"14","4","27"
"15","2","30"
"16","2","33"
"17","1","36"
"18","1","37"
"19","1","40"
"20","2","40"
"21","2","41"
"22","2","44"
"23","2","45"
"24","2","46"
"25","2","49"
"26","2","50"
"27","2","51"
"28","2","54"
"29","2","57"
"30","2","60"
"31","2","63"
"32","2","66"
"33","2","67"
"34","2","70"
"35","2","70"
"36","2","70"
"37","2","71"
"38","2","74"
