"Match","Position","Points"
"1","2","3"
"2","4","4"
"3","5","4"
"4","7","5"
"5","4","8"
"6","8","8"
"7","10","9"
"8","12","9"
"9","13","10"
"10","7","13"
"11","10","13"
"12","7","16"
"13","9","17"
"14","9","18"
"15","6","21"
"16","5","24"
"17","6","25"
"18","8","25"
"19","7","28"
"20","5","31"
"21","5","31"
"22","5","34"
"23","5","34"
"24","5","34"
"25","6","35"
"26","7","38"
"27","5","41"
"28","5","42"
"29","5","45"
"30","5","46"
"31","5","49"
"32","5","52"
"33","5","55"
"34","5","58"
"35","5","59"
"36","5","62"
"37","3","63"
"38","3","66"
