Date,Actual,Predicted
2022-10-31,13.109999656677246,12.948406
2022-11-01,12.869999885559082,13.164211
2022-11-02,12.5600004196167,12.875597
2022-11-03,12.93000030517578,12.561906
2022-11-04,13.380000114440918,12.635154
2022-11-07,13.149999618530272,12.996659
2022-11-08,13.0,13.049247
2022-11-09,13.140000343322754,13.074898
2022-11-10,13.289999961853027,13.048592
2022-11-11,13.199999809265137,13.157011
2022-11-14,12.970000267028809,13.16645
2022-11-15,12.800000190734863,12.998622
2022-11-16,12.84000015258789,12.871571
2022-11-17,13.130000114440918,12.839076
2022-11-18,13.029999732971191,12.766128
2022-11-21,14.9399995803833,13.06791
2022-11-22,18.799999237060547,14.538048
2022-11-23,21.209999084472656,16.686472
2022-11-25,21.25,19.666306
2022-11-28,22.18000030517578,20.661707
2022-11-29,22.100000381469727,20.750385
2022-11-30,22.559999465942383,20.718855
2022-12-01,22.729999542236328,21.023985
2022-12-02,22.36000061035156,21.885918
2022-12-05,22.209999084472656,21.085768
2022-12-06,22.1299991607666,21.043617
2022-12-07,21.850000381469727,20.919933
2022-12-08,20.350000381469727,20.919933
2022-12-09,20.559999465942383,20.737627
2022-12-12,20.68000030517578,19.449484
2022-12-13,21.59000015258789,19.682419
2022-12-14,21.6200008392334,20.4727
2022-12-15,21.850000381469727,20.485094
2022-12-16,21.270000457763672,20.822405
2022-12-19,21.89999961853028,20.77213
2022-12-20,22.76000022888184,20.743748
2022-12-21,22.440000534057617,20.672066
2022-12-22,22.479999542236328,21.67712
2022-12-23,23.1200008392334,20.73777
2022-12-27,22.450000762939453,21.499323
2022-12-28,23.09000015258789,21.522331
2022-12-29,23.32999992370605,21.49222
2022-12-30,22.76000022888184,21.701233
2023-01-03,23.299999237060547,21.563202
2023-01-04,22.8700008392334,21.564169
2023-01-05,23.31999969482422,21.486246
2023-01-06,23.11000061035156,21.401928
2023-01-09,22.82999992370605,21.264658
2023-01-10,22.88999938964844,21.364815
2023-01-11,22.770000457763672,21.49222
2023-01-12,22.96999931335449,21.345173
2023-01-13,22.81999969482422,21.484894
2023-01-17,22.940000534057617,22.144493
2023-01-18,23.0,22.048767
2023-01-19,23.350000381469727,22.151857
2023-01-20,22.90999984741211,22.033915
2023-01-23,22.64999961853028,21.516031
2023-01-24,23.3700008392334,21.657827
2023-01-25,22.6299991607666,21.8644
2023-01-26,22.780000686645508,21.717508
2023-01-27,22.559999465942383,22.106697
2023-01-30,22.549999237060547,22.103983
2023-01-31,22.489999771118164,21.416409
2023-02-01,22.3799991607666,21.262463
2023-02-02,21.86000061035156,21.576832
2023-02-03,21.450000762939453,21.064869
2023-02-06,21.1200008392334,21.050564
2023-02-07,23.34000015258789,20.993341
2023-02-08,25.38999938964844,20.980433
2023-02-09,23.540000915527344,22.487762
2023-02-10,23.600000381469727,22.40907
2023-02-13,23.86000061035156,22.091232
2023-02-14,24.459999084472656,22.031378
2023-02-15,26.84000015258789,22.423828
2023-02-16,26.32999992370605,22.844004
2023-02-17,22.989999771118164,22.896242
2023-02-21,22.559999465942383,22.674616
2023-02-22,22.86000061035156,21.501476
2023-02-23,22.88999938964844,21.918427
2023-02-24,20.780000686645508,22.438965
2023-02-27,20.75,21.41413
2023-02-28,20.450000762939453,20.554813
2023-03-01,21.1299991607666,20.731089
2023-03-02,21.34000015258789,20.752409
2023-03-03,21.93000030517578,21.012886
2023-03-06,21.479999542236328,21.186085
2023-03-07,21.780000686645508,21.257511
2023-03-08,20.88999938964844,21.121616
2023-03-09,20.09000015258789,20.87192
2023-03-10,20.5,18.912716
2023-03-13,20.57999992370605,18.910442
2023-03-14,21.09000015258789,20.512562
2023-03-15,21.729999542236328,20.425735
2023-03-16,22.13999938964844,20.8169
2023-03-17,23.559999465942383,21.304426
2023-03-20,24.020000457763672,22.055317
2023-03-21,25.6200008392334,22.11157
2023-03-22,23.76000022888184,22.483818
2023-03-23,23.920000076293945,22.345467
2023-03-24,22.280000686645508,22.104702
2023-03-27,22.46999931335449,21.956982
2023-03-28,22.39999961853028,20.931973
2023-03-29,22.84000015258789,21.384586
2023-03-30,22.14999961853028,22.217663
2023-03-31,21.5,21.134756
2023-04-03,21.850000381469727,21.196795
2023-04-04,21.459999084472656,21.176935
2023-04-05,21.690000534057617,21.233736
2023-04-06,21.31999969482422,21.169308
2023-04-10,22.690000534057617,21.240204
2023-04-11,23.38999938964844,21.097767
2023-04-12,23.1299991607666,21.806627
2023-04-13,22.020000457763672,21.879211
2023-04-14,19.68000030517578,20.999508
2023-04-17,20.56999969482422,20.85411
2023-04-18,20.450000762939453,19.628824
2023-04-19,20.780000686645508,19.290329
2023-04-20,21.01000022888184,20.438786
2023-04-21,21.530000686645508,20.589384
2023-04-24,21.0,20.924662
2023-04-25,20.56999969482422,21.075258
2023-04-26,20.600000381469727,20.56859
2023-04-27,20.049999237060547,20.157787
2023-04-28,19.13999938964844,19.617136
2023-05-01,19.170000076293945,18.7904
2023-05-02,20.1299991607666,19.206472
2023-05-03,19.34000015258789,19.38812
2023-05-04,19.06999969482422,19.721947
2023-05-05,18.71999931335449,19.088871
2023-05-08,20.09000015258789,18.51295
2023-05-09,20.299999237060547,19.172243
2023-05-10,18.3700008392334,19.787159
2023-05-11,18.1299991607666,19.273241
2023-05-12,18.850000381469727,17.750702
2023-05-15,18.96999931335449,18.4116
2023-05-16,19.15999984741211,18.55275
2023-05-17,18.84000015258789,18.89679
2023-05-18,18.71999931335449,18.81099
2023-05-19,19.57999992370605,18.674484
2023-05-22,19.18000030517578,19.152609
